ID,商品コード,商品名,価格,在庫数
1,"P199","iphone20",100,10
3,"P003","商品3",150,20
4,"P004","商品4",180,25
5,"P005","商品5",200,30
6,"P006","商品6",220,12
7,"P007","商品7",250,18
8,"P008","商品8",270,22
9,"P009","商品9",300,28
10,"P010","商品10",320,35
11,"P011","商品11",110,14
12,"P012","商品12",130,16
13,"P013","商品13",160,21
14,"P014","商品14",190,26
15,"P015","商品15",210,31
16,"P016","商品16",230,13
17,"P017","商品17",260,19
18,"P018","商品18",280,23
19,"P019","商品19",310,29
20,"P020","商品20",330,36
21,"P021","商品21",105,11
22,"P022","商品22",125,17
23,"P023","商品23",155,24
24,"P024","商品24",185,27
25,"P025","商品25",205,32
26,"P026","商品26",225,14
27,"P027","商品27",255,20
28,"P028","商品28",275,25
29,"P029","商品29",305,30
30,"P030","商品30",325,37
31,"P031","商品31",115,12
32,"P032","商品32",135,18
33,"P033","商品33",165,22
34,"P034","商品34",195,26
35,"P035","商品35",215,33
36,"P036","商品36",235,15
37,"P037","商品37",265,21
38,"P038","商品38",285,24
39,"P039","商品39",315,31
40,"P040","商品40",335,38
41,"P106","iphone 20",100,45
42,"P991","hhhhhhh",100,20
43,"P999","iphone100",1000000,10
44,"123455","Ipone299",130000,120
